Group,Estimator,Training,Test,Validation
Strategy A,XGBoost,0.346 [0.327 - 0.364],0.266 [0.232 - 0.302],0.233 [0.220 - 0.249]
Strategy A,Random Forest,0.294 [0.277 - 0.312],0.229 [0.198 - 0.260],0.195 [0.184 - 0.209]
Strategy A,Logistic Regression,0.101 [0.092 - 0.111],0.102 [0.086 - 0.124],0.167 [0.156 - 0.179]
Strategy A,Naive Bayes,0.127 [0.120 - 0.135],0.129 [0.116 - 0.146],0.150 [0.142 - 0.158]
Strategy B,XGBoost,0.348 [0.329 - 0.365],0.280 [0.243 - 0.317],0.238 [0.224 - 0.252]
Strategy B,Random Forest,0.294 [0.276 - 0.311],0.222 [0.192 - 0.253],0.200 [0.188 - 0.214]
Strategy B,Logistic Regression,0.124 [0.116 - 0.134],0.111 [0.097 - 0.129],0.158 [0.149 - 0.170]
Strategy B,Naive Bayes,0.125 [0.118 - 0.132],0.127 [0.114 - 0.144],0.168 [0.160 - 0.177]
Strategy C,XGBoost,0.305 [0.288 - 0.323],0.263 [0.230 - 0.298],0.237 [0.224 - 0.253]
Strategy C,Random Forest,0.256 [0.240 - 0.272],0.211 [0.184 - 0.241],0.188 [0.177 - 0.201]
Strategy C,Logistic Regression,0.134 [0.124 - 0.146],0.129 [0.109 - 0.153],0.161 [0.151 - 0.172]
Strategy C,Naive Bayes,0.127 [0.120 - 0.135],0.132 [0.118 - 0.151],0.162 [0.154 - 0.171]
CUS,SAPS II,0.175 [0.162 - 0.189],0.178 [0.154 - 0.206],0.207 [0.196 - 0.221]
CUS,APACHE II,0.061 [0.057 - 0.065],0.061 [0.054 - 0.072],0.147 [0.140 - 0.156]
CUS,MODS,0.094 [0.088 - 0.102],0.089 [0.078 - 0.103],0.152 [0.143 - 0.162]
CUS,OASIS,0.134 [0.125 - 0.144],0.138 [0.121 - 0.162],0.170 [0.161 - 0.181]
